twa,tws,speed
44,6,4.40
43,8,5.34
41,10,5.89
40,12,6.24
39,14,6.47
38,16,6.60
38,20,6.74
52,6,4.40
52,8,5.34
52,10,5.89
52,12,6.24
52,14,6.47
52,16,6.60
52,20,6.74
60,6,4.72
60,8,5.61
60,10,6.12
60,12,6.44
60,14,6.69
60,16,6.87
60,20,7.02
75,6,4.98
75,8,5.82
75,10,6.36
75,12,6.64
75,14,6.88
75,16,7.12
75,20,7.46
90,6,5.10
90,8,5.99
90,10,6.55
90,12,6.93
90,14,7.13
90,16,7.28
90,20,7.59
110,6,5.01
110,8,5.97
110,10,6.55
110,12,6.97
110,14,7.35
110,16,7.71
110,20,8.21
120,6,4.78
120,8,5.79
120,10,6.43
120,12,6.85
120,14,7.22
120,16,7.58
120,20,8.37
135,6,4.18
135,8,5.30
135,10,6.08
135,12,6.54
135,14,6.92
135,16,7.27
135,20,7.98
150,6,3.51
150,8,4.46
150,10,5.52
150,12,6.14
150,14,6.55
150,16,6.91
150,20,7.58
170,6,3.04
170,8,3.95
170,10,4.82
170,12,5.50
170,14,6.02
170,16,6.42
170,20,7.08
